time	V(vout)
9.578156151669333e-04	1.055631e+00
9.634971306838138e-04	1.432502e+00
9.671100774467432e-04	1.603827e+00
9.696343904771823e-04	1.681925e+00
9.714847936367829e-04	1.715036e+00
9.730950923359993e-04	1.726474e+00
9.746520876728554e-04	1.722162e+00
9.763706700255202e-04	1.699022e+00
9.787308231952218e-04	1.634763e+00
9.825535589189599e-04	1.457729e+00
9.886234223595962e-04	1.031144e+00
9.976755907729097e-04	2.133248e-01
1.007595515899742e-03	-7.394003e-01
1.013365712819228e-03	-1.231132e+00
1.017021453751506e-03	-1.474512e+00
1.019570587322665e-03	-1.601938e+00
1.021437314891471e-03	-1.670781e+00
1.023036064824250e-03	-1.712545e+00
1.024547213498721e-03	-1.737049e+00
1.026331669272686e-03	-1.746932e+00
1.028667405808222e-03	-1.727819e+00
1.032451366652813e-03	-1.624630e+00
1.038464023802854e-03	-1.316504e+00
1.047450166716359e-03	-6.727405e-01
1.057452809661923e-03	1.060542e-01
1.063280800958677e-03	4.992509e-01
1.066964318428776e-03	6.798363e-01
1.069529499539205e-03	7.631504e-01
1.071406756987948e-03	7.995889e-01
1.072998067367364e-03	8.134221e-01
1.074516435330950e-03	8.116148e-01
1.076320221228656e-03	7.903045e-01
1.078648789694437e-03	7.310365e-01
1.082421361297597e-03	5.636063e-01
1.088417186286919e-03	1.553314e-01
1.097383785294879e-03	-6.353853e-01
1.107410520906160e-03	-1.578784e+00
1.113255682602794e-03	-2.065956e+00
1.116947435890987e-03	-2.304338e+00
1.119517365695728e-03	-2.427122e+00
1.121397735390147e-03	-2.492065e+00
1.122986848393932e-03	-2.529686e+00
1.124513931883001e-03	-2.550545e+00
1.126319290013700e-03	-2.555776e+00
1.128647275390340e-03	-2.530335e+00
1.132418920413186e-03	-2.416721e+00
1.138413375431340e-03	-2.091519e+00
1.147378381435340e-03	-1.420832e+00
1.158413895231303e-03	-5.274563e-01
1.163857256273261e-03	-1.487215e-01
1.167354143630483e-03	2.822882e-02
1.169810543326759e-03	1.133615e-01
1.171616044194231e-03	1.529830e-01
1.173258204333509e-03	1.713230e-01
1.174941843311895e-03	1.738275e-01
1.176478384155398e-03	1.597512e-01
1.178905945064835e-03	1.041097e-01
1.182835561008912e-03	-6.034692e-02
1.189062302162802e-03	-4.689585e-01
1.198292327837716e-03	-1.251688e+00
1.207043860598945e-03	-2.032931e+00
1.213309039220272e-03	-2.523798e+00
1.216983308307735e-03	-2.743034e+00
1.219543151747325e-03	-2.851695e+00
1.221416908926986e-03	-2.906430e+00
1.223010691451759e-03	-2.935711e+00
1.224519252623700e-03	-2.948348e+00
1.226321269176405e-03	-2.944053e+00
1.228650493821291e-03	-2.906239e+00
1.232424108129901e-03	-2.772259e+00
1.238421474680295e-03	-2.414092e+00
1.247389865799411e-03	-1.692520e+00
1.257596255457821e-03	-8.047036e-01
1.263388768145125e-03	-3.605203e-01
1.267036984309578e-03	-1.478389e-01
1.269581762055106e-03	-4.114494e-02
1.271445628145000e-03	1.288855e-02
1.273046401101661e-03	4.227168e-02
1.274565578525515e-03	5.529083e-02
1.276338499695386e-03	5.176579e-02
1.278678512820977e-03	1.537258e-02
1.282469267390739e-03	-1.150213e-01
1.288491958716558e-03	-4.643466e-01
1.297489727185711e-03	-1.165403e+00
1.306518502860034e-03	-1.921030e+00
1.313000335052565e-03	-2.398720e+00
1.316776307127902e-03	-2.607025e+00
1.319394551106492e-03	-2.705747e+00
1.321306489559588e-03	-2.752234e+00
1.322873352090225e-03	-2.772985e+00
1.324488618847515e-03	-2.777919e+00
1.326309873817801e-03	-2.763646e+00
1.328631962994506e-03	-2.712967e+00
1.332394237434566e-03	-2.558555e+00
1.338374832946167e-03	-2.168738e+00
1.347323703482156e-03	-1.401007e+00
1.358466120278816e-03	-3.761811e-01
1.363888899740587e-03	6.045151e-02
1.367375673424273e-03	2.747304e-01
1.369826113019600e-03	3.862494e-01
1.371627656751478e-03	4.453182e-01
1.373272631414888e-03	4.818967e-01
1.374793071674193e-03	5.011126e-01
1.376423084912764e-03	5.045543e-01
1.378816044546787e-03	4.771233e-01
1.382690828416736e-03	3.592460e-01
1.388837237124462e-03	2.591002e-02
1.397976780375335e-03	-6.480603e-01
1.407784107800359e-03	-1.419840e+00
1.413478283714629e-03	-1.803289e+00
1.417097353137086e-03	-1.978885e+00
1.419625224528277e-03	-2.059679e+00
1.421477970845679e-03	-2.094638e+00
