time	V(transmit_electrode)
7.823890987445233e-04	-9.367561e-01
7.883668075222871e-04	-8.193251e-01
7.973123127878385e-04	-5.621050e-01
8.075482296292925e-04	-2.393242e-01
8.133375514466556e-04	-8.926537e-02
8.170024935756860e-04	-1.815152e-02
8.195569484743448e-04	1.803899e-02
8.214271698632884e-04	3.696781e-02
8.230234504901358e-04	4.786125e-02
8.245248006133669e-04	5.359812e-02
8.263233328332563e-04	5.467214e-02
8.286538496394039e-04	4.670623e-02
8.324295171988892e-04	1.207873e-02
8.384299190034919e-04	-9.248216e-02
8.474018374034901e-04	-3.279905e-01
8.567679619819687e-04	-5.979203e-01
8.630155373540059e-04	-7.439674e-01
8.667864700954277e-04	-8.062028e-01
8.694018356321695e-04	-8.351550e-01
8.713118981820084e-04	-8.482859e-01
8.728800809389712e-04	-8.538023e-01
8.744901189739942e-04	-8.544277e-01
8.763104318720968e-04	-8.489365e-01
8.786328704972911e-04	-8.324226e-01
8.823957003517514e-04	-7.837298e-01
8.883771175929470e-04	-6.561656e-01
8.973269457948690e-04	-3.842269e-01
9.073742123690096e-04	-5.137444e-02
9.132341322056370e-04	1.101998e-01
9.169329583892936e-04	1.878597e-01
9.195069629221186e-04	2.282814e-01
9.213900018067171e-04	2.501519e-01
9.229772307903779e-04	2.633283e-01
9.245117859685134e-04	2.714040e-01
9.263184917855144e-04	2.749884e-01
9.286459773416925e-04	2.702066e-01
9.324168280913714e-04	2.406881e-01
9.384101086885048e-04	1.440719e-01
9.473737487964496e-04	-8.020171e-02
9.578156151669333e-04	-3.667645e-01
9.634971306838138e-04	-4.886703e-01
9.671100774467432e-04	-5.424017e-01
9.696343904771823e-04	-5.666724e-01
9.714847936367829e-04	-5.769586e-01
9.730950923359993e-04	-5.805452e-01
9.746520876728554e-04	-5.791771e-01
9.763706700255202e-04	-5.721082e-01
9.787308231952218e-04	-5.529456e-01
9.825535589189599e-04	-4.994368e-01
9.886234223595962e-04	-3.634477e-01
9.976755907729097e-04	-8.006624e-02
1.007595515899742e-03	2.535178e-01
1.013365712819228e-03	4.141926e-01
